episode,frames,left_x,left_y,left_z,right_x,right_y,right_z,active_hand,active_total_m,env_attr
0.hdf5,126,0.005066215991973877,0.0038248300552368164,0.004159271717071533,0.46188709139823914,0.1808592677116394,0.17536163330078125,right,0.8181079924106598,"table:metal, position:sitting, background:white, from:table, to:box lid, hand:ri"
1.hdf5,160,0.004133403301239014,0.0035794973373413086,0.0046035051345825195,0.4140584170818329,0.18526041507720947,0.28012514114379883,right,0.8794439733028412,"table:metal, position:sitting, background:white, from:table, to:box lid, hand:ri"
10.hdf5,143,0.02782393991947174,0.007868409156799316,0.0327279269695282,0.21065038442611694,0.17083847522735596,0.20885074138641357,right,0.5903396010398865,"tablecloth:none, position:sitting, background:blue, from:blue bowl, to:purple sc"
100.hdf5,217,0.15874038636684418,0.24106448888778687,0.2905983030796051,0.0033947527408599854,0.005396246910095215,0.006583154201507568,left,0.6904031783342361,"tablecloth:pink, position:sitting, background:lavender, from:table, to:tupperwar"
101.hdf5,231,0.0045552849769592285,0.005519270896911621,0.004079699516296387,0.40717488527297974,0.11581122875213623,0.11125946044921875,right,0.6342455744743347,"table:metal, position:sitting, background:white, from:table, to:black case, hand"
102.hdf5,100,0.08711306750774384,0.1528416872024536,0.11563816666603088,0.11215080320835114,0.08386820554733276,0.08014783263206482,left,0.35559292137622833,"table:metal, tablecloth:red, position:sitting, background:lavender, from:table, "
103.hdf5,79,0.0016234815120697021,0.0010849833488464355,0.00413745641708374,0.19497115910053253,0.18762058019638062,0.1268635392189026,right,0.5094552785158157,"tablecloth:pink, position:sitting, background:lavender, from:table, to:orangebow"
104.hdf5,131,0.2845790982246399,0.2049959897994995,0.18730127811431885,0.002370215952396393,0.0007303953170776367,0.001422971487045288,left,0.6768763661384583,"tablecloth:pink, position:sitting, background:lavender, from:table, to:bluebowl,"
105.hdf5,59,0.2781198024749756,0.09714615345001221,0.03669571876525879,0.008886158466339111,0.019559025764465332,0.005287375301122665,left,0.4119616746902466,"tablecloth:blue, position:sitting, background:pink, from:table, to:green bowl, h"
106.hdf5,59,0.02024821937084198,0.008774518966674805,0.01625622808933258,0.13435707986354828,0.10095542669296265,0.13013947010040283,right,0.36545197665691376,"tablecloth:blue, position:sitting, background:pink, from:table, to:green bowl, h"
107.hdf5,56,0.002812325954437256,0.001055896282196045,0.0021061301231384277,0.32416918873786926,0.16869068145751953,0.15717756748199463,right,0.6500374376773834,"table:metal, position:sitting, background:white, from:table, to:bowl, hand:right"
108.hdf5,342,0.17774030566215515,0.21871715784072876,0.2921009361743927,0.007483348250389099,0.004811465740203857,0.01371997594833374,left,0.6885583996772766,"table:wood, position:sitting, background:white, from:white round table, to:white"
109.hdf5,77,0.002705320715904236,0.0035077333450317383,0.0015341341495513916,0.13935908675193787,0.25741440057754517,0.22115623950958252,right,0.6179297268390656,"table:wood, position:sitting, background:brown, from:red cup, to:table, hand:rig"
