episode,frames,active,conf_n,conf_min,conf_p05,conf_p25,conf_p50,conf_p75,conf_p95,conf_max,conf_mean,table_y_world,cam_to_table_min,cam_to_table_mean,cam_to_table_max
0.hdf5,126,right,3150,0.0032246035989373922,0.0032246035989373922,0.20414918661117554,0.47373801469802856,0.6909773945808411,0.8951908349990845,0.9993513822555542,0.4538031816482544,0.8033013939857483,0.24900907278060913,0.26533937454223633,0.2873501181602478
1.hdf5,160,right,4000,0.0032246035989373922,0.0032246035989373922,0.33551791310310364,0.6592845916748047,0.8031548261642456,0.9264626502990723,0.999275803565979,0.5549430251121521,0.8171403408050537,0.2566462755203247,0.28139859437942505,0.3233485221862793
10.hdf5,143,right,3575,0.0032246035989373922,0.0032246035989373922,0.3054792881011963,0.7164912819862366,0.846747636795044,0.9393764734268188,0.998412013053894,0.576730489730835,0.8862575888633728,0.2085081934928894,0.21213805675506592,0.21798557043075562
100.hdf5,217,left,5425,0.0032246035989373922,0.0032246035989373922,0.24616749584674835,0.6369556784629822,0.7747412323951721,0.8538739085197449,0.9880164861679077,0.5199646353721619,0.8352165222167969,0.2691267728805542,0.2713874578475952,0.27647626399993896
101.hdf5,231,right,5775,0.0032246035989373922,0.0032246035989373922,0.24943280220031738,0.6080187559127808,0.7908375263214111,0.9348236918449402,0.9996763467788696,0.5232853293418884,0.8015608787536621,0.23129475116729736,0.23956622183322906,0.27311229705810547
102.hdf5,100,left,2500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9026651382446289,0.20945417881011963,0.21179133653640747,0.21664857864379883
103.hdf5,79,right,1975,0.0032246035989373922,0.0032246035989373922,0.3093668520450592,0.630074679851532,0.7706170082092285,0.8473698496818542,0.9922531843185425,0.5274531245231628,0.8185880780220032,0.26898783445358276,0.2729889452457428,0.27782076597213745
104.hdf5,131,left,3275,0.0032246035989373922,0.0032246035989373922,0.22675803303718567,0.5283221006393433,0.7421607971191406,0.872135579586029,0.9971064925193787,0.47649872303009033,1.128877878189087,0.22932934761047363,0.23403400182724,0.23675429821014404
105.hdf5,59,left,1475,0.0032246035989373922,0.0032246035989373922,0.2635871171951294,0.5934791564941406,0.8558433055877686,0.95259028673172,0.9987959861755371,0.545711874961853,1.156728982925415,0.18959259986877441,0.19379183650016785,0.19728505611419678
106.hdf5,59,right,1475,0.0032246035989373922,0.0032246035989373922,0.21360883116722107,0.430585116147995,0.7863955497741699,0.9711158871650696,0.9994562268257141,0.48002392053604126,0.9637999534606934,0.19565653800964355,0.20243634283542633,0.20994365215301514
107.hdf5,56,right,1400,0.0032246035989373922,0.0032246035989373922,0.2550252377986908,0.6352006196975708,0.851568341255188,0.9316790699958801,0.9995543956756592,0.5453789234161377,0.8125352263450623,0.2512192130088806,0.26089948415756226,0.281883180141449
108.hdf5,342,left,8550,0.0032246035989373922,0.0032246035989373922,0.36023426055908203,0.7217810750007629,0.8304837942123413,0.9442015290260315,0.9966138005256653,0.585486114025116,0.803030252456665,0.2727757692337036,0.2913609445095062,0.31339824199676514
